INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
01-07-2013,30-06-2014,8,1202,450000,6327.89,5000031415,1998,44,Bus,5861,FIAT,Own service,
01-07-2012,30-06-2013,8,1202,450000,11580.39,5000031415,1998,44,Bus,5861,FIAT,Own service,
01-07-2011,30-06-2012,8,1202,450000,6306.402,5000031415,1998,44,Bus,5861,FIAT,Own service,
01-07-2013,30-06-2014,8,1202,270000,4357.08,5000031417,2003,11,Bus,2779,TOYOTA,Own service,
01-07-2012,30-06-2013,8,1202,270000,5687.81,5000031417,2003,11,Bus,2779,TOYOTA,Own service,
01-07-2011,30-06-2012,8,1202,270000,4400.799,5000031417,2003,11,Bus,2779,TOYOTA,Own service,
01-07-2013,30-06-2014,8,1202,511779.63,8351.44,5000031418,2009,11,Bus,2494,TOYOTA,Own service,11035.15
01-07-2012,30-06-2013,8,1202,511779.63,7424.46,5000031418,2009,11,Bus,2494,TOYOTA,Own service,2696.75
01-07-2011,30-06-2012,8,1202,511779.63,7039.769,5000031418,2009,11,Bus,2494,TOYOTA,Own service,
22-07-2013,21-07-2014,80,1202,270000,3279.72,5000031514,1993,7,Pick-up,2950,TOYOTA,Own Goods,
22-07-2012,21-07-2013,80,1202,140000,2081.98,5000031514,1993,7,Pick-up,2950,TOYOTA,Own Goods,4650
22-07-2011,21-07-2012,80,1202,140000,1910.873,5000031514,1993,7,Pick-up,2950,TOYOTA,Own Goods,
22-07-2012,21-07-2013,80,1202,520127,17299.07,5000031516,1989,86,Truck,0,DAEWOO,Own Goods,
22-07-2011,21-07-2012,80,1202,520127,16697.67,5000031516,1989,86,Truck,0,DAEWOO,Own Goods,
22-07-2013,21-07-2014,80,1202,1089258,34389.53,5000031519,2009,171,Truck,0,MERCEEDES,Own Goods,
22-07-2012,21-07-2013,80,1202,1089258,34389.53,5000031519,2009,171,Truck,0,MERCEEDES,Own Goods,719
22-07-2011,21-07-2012,80,1202,1089258,33692.947,5000031519,2009,171,Truck,0,MERCEEDES,Own Goods,
